logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano
est do encanamento;1536;apto 101 edf. luciano friedheim res;620000,00;Casa Amarela;Recife;PE;2023;1005;117,44;0,02342;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-01;Bom;Apartamento;0,00;21385;;;2026
est do encanamento;1536;apto 301 edf. luciano friedheim res;650000,00;Casa Amarela;Recife;PE;2023;1005;117,44;0,02342;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-07;Bom;Apartamento;512000,00;21385;;;2026
est do arraial;4455;apto 1b edf margareth;185000,00;Casa Amarela;Recife;PE;1964;480;69;0,16788;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2026-03-03;Bom;Apartamento;0,00;8222;-8.028871;-34.921885;2026
rua professor alvaro lima;80;apto 1301 edf quinta da trindade;1070000,00;Casa Amarela;Recife;PE;2023;1269,88;190,74;0,02778;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-25;Bom;Apartamento;0,00;3719;;;2026
rua professor alvaro lima;80;apto 202 edf quinta da trindade;580000,00;Casa Amarela;Recife;PE;2023;1269,88;110,14;0,01618;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-16;Bom;Apartamento;456000,00;3719;;;2026
rua professor alvaro lima;80;apto 402 edf quinta da trindade;556800,00;Casa Amarela;Recife;PE;2023;1269,88;110,14;0,01618;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-06;Bom;Apartamento;0,00;3719;;;2026
rua professor alvaro lima;80;apto 1402 edf quinta da trindade;914015,17;Casa Amarela;Recife;PE;2023;1269,88;190,74;0,02778;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-01-15;Bom;Apartamento;0,00;3719;;;2026
est do encanamento;1342;apto 802 edf frascati;590000,00;Casa Amarela;Recife;PE;2009;736,2;115,36;0,02941;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-01-16;Bom;Apartamento;0,00;21385;-8.029203;-34.921882;2026
rua raimundo freixeira;203;apto 901 edf. vila sao felix de cantalice;405000,00;Casa Amarela;Recife;PE;2016;1030;104,39;0,0204;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-03-10;Bom;Apartamento;0,00;56553;;;2026
rua dr genaro guimaraes;194;apto 1004 edf vila de arnoso;350000,00;Casa Amarela;Recife;PE;2010;810;93,32;0,01898;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-06-16;Bom;Apartamento;0,00;26301;-8.028991;-34.919939;2026
rua dr genaro guimaraes;194;apto 101 edf vila de arnoso;320000,00;Casa Amarela;Recife;PE;2010;810;93,32;0,01898;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-07-20;Bom;Apartamento;0,00;26301;-8.028991;-34.919939;2026
rua dr genaro guimaraes;210;apto 701 edf. mont blanc;371306,00;Casa Amarela;Recife;PE;2021;733,34;101,65;0,02677;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-01-22;Bom;Apartamento;0,00;26301;-8.028915;-34.920162;2026
rua conselheiro nabuco;271;apto 0301 edf flavus;550000,00;Casa Amarela;Recife;PE;1988;1087,68;172,12;0,03604;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-01-27;Bom;Apartamento;0,00;45586;-8.029891;-34.916374;2026
rua conselheiro nabuco;271;apto 0701 edf flavus;600000,00;Casa Amarela;Recife;PE;1988;1087,68;172,12;0,03604;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-04-17;Bom;Apartamento;0,00;45586;-8.029891;-34.916374;2026
est do encanamento;702;apto 0502 bloco a;350000,00;Casa Amarela;Recife;PE;1990;1462,5;104;0,02777;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2026-05-06;Bom;Apartamento;0,00;21385;-8.030745;-34.916451;2026
