"logradouro";"numero";"complemento";"valor_avaliacao";"bairro";"cidade";"uf";"ano_construcao";"area_terreno";"area_construida";"fracao_ideal";"padrao_acabamento";"tipo_construcao";"tipo_ocupacao";"data_transacao";"estado_conservacao";"tipo_imovel";"sfh";"cod_logradouro";"latitude";"longitude";"ano";"Distrito"
"rua engenheiro sampaio";"68";"apto 1204 splendid rosarinho";"262000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-04-08";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 102 splendid rosarinho";"360000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-17";"Bom";"Apartamento";"234079.45";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 103 splendid rosarinho";"222741.27";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-08-24";"Bom";"Apartamento";"161850.93";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 104 splendid rosarinho";"232000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-10-08";"Bom";"Apartamento";"101791.25";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 106 splendid rosarinho";"240000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-08-13";"Bom";"Apartamento";"103200.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 201 splendid rosarinho";"253302.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-08-10";"Bom";"Apartamento";"132000.93";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 203 splendid rosarinho";"250000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-07-27";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 203 splendid rosarinho";"250000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-12-29";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 204 splendid rosarinho";"250000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"59,93";"0,00727";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-05-22";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 202 splendid rosarinho";"380000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-07-28";"Bom";"Apartamento";"260000.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 205 splendid rosarinho";"359905.20";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-08-24";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 206 splendid rosarinho";"245000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-05-25";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 302 splendid rosarinho";"360000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-17";"Bom";"Apartamento";"0.00";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 305 splendid rosarinho";"357775.43";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-07-10";"Bom";"Apartamento";"221711.50";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 601 splendid rosarinho";"250000.00";"Rosarinho";"Recife";"PE";"2014";"2202,75";"57,12";"0,00693";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-11-10";"Bom";"Apartamento";"112985.10";"53627";"-8.033695";"-34.897214";"2015";"1"
"rua engenheiro sampaio";"68";"apto 602 splendid rosarinho";"392128.58";"Rosarinho";"Recife";"PE";"2014";"2202,75";"99,82";"0,01211";"Superior";"Apartamento > 4 Pavimentos";"RESIDENCIAL";"2015-06-17";"Bom";"Apartamento";"270931.08";"53627";"-8.033695";"-34.897214";"2015";"1"
