endereco_edificio;bairro_padronizado;logradouro_fmt;numero_fmt;total_transacoes;m2_privativo_medio;m2_privativo_mediana;valor_medio_corrigido;valor_min_corrigido;valor_max_corrigido;area_privativa_media;latitude;longitude
Rua Da Harmonia, 701 - Casa Amarela;Casa Amarela;Rua Da Harmonia;701;1;4542.65;4542.65;1038539.66;1038539.66;1038539.66;228.62;-8.029901;-34.914502
Rua Da Harmonia, 695 - Casa Amarela;Casa Amarela;Rua Da Harmonia;695;1;2615.73;2615.73;530000.0;530000.0;530000.0;202.62;-8.026947;-34.913407
Rua Da Hora, 61 - Espinheiro;Espinheiro;Rua Da Hora;61;1;4918.16;4918.16;750560.73;750560.73;750560.73;152.61;-8.042619;-34.89132
Rua Da Hora, 330 - Espinheiro;Espinheiro;Rua Da Hora;330;1;7080.31;7080.31;2734768.82;2734768.82;2734768.82;386.25;-8.044098;-34.893323
Rua Da Hora, 288 - Espinheiro;Espinheiro;Rua Da Hora;288;1;5082.59;5082.59;1143582.91;1143582.91;1143582.91;225.0;-8.043791;-34.893117
Rua Guaporanga, 48 - Ilha Do Retiro;Ilha Do Retiro;Rua Guaporanga;48;1;2698.68;2698.68;1029358.61;1029358.61;1029358.61;381.43;-8.06471;-34.905435
Rua Guapo, 73 - Casa Amarela;Casa Amarela;Rua Guapo;73;1;1015.98;1015.98;397978.9;397978.9;397978.9;391.72;-8.024835;-34.921479
Rua Guapiacu, 43 - Linha Do Tiro;Linha Do Tiro;Rua Guapiacu;43;1;2514.58;2514.58;187687.89;187687.89;187687.89;74.64;-8.005816;-34.901175
Rua Guape, 179 - Zumbi;Zumbi;Rua Guape;179;1;1654.24;1654.24;279550.67;279550.67;279550.67;168.99;-8.05526;-34.917591
Rua Guanambi, 168 - Bomba Do Hemeterio;Bomba Do Hemeterio;Rua Guanambi;168;1;4528.96;4528.96;384961.94;384961.94;384961.94;85.0;-8.024206;-34.899204
Rua Guanaces, 31 - Afogados;Afogados;Rua Guanaces;31;1;2003.88;2003.88;445924.4;445924.4;445924.4;222.53;-8.066648;-34.909824
Rua Guanabara, 366 - Tejipio;Tejipio;Rua Guanabara;366;1;3120.15;3120.15;246491.59;246491.59;246491.59;79.0;-8.090523;-34.951295
Rua Guaicurus, 363 - Campo Grande;Campo Grande;Rua Guaicurus;363;1;2190.18;2190.18;746719.28;746719.28;746719.28;340.94;-8.035143;-34.877938
Rua Guaicurus, 172 - Campo Grande;Campo Grande;Rua Guaicurus;172;1;3006.42;3006.42;439689.56;439689.56;439689.56;146.25;-8.035405;-34.878766
Rua Da Harmonia, 643 - Casa Amarela;Casa Amarela;Rua Da Harmonia;643;1;4371.83;4371.83;858365.11;858365.11;858365.11;196.34;-8.029436;-34.914292
Rua Da Harmonia, 61 - Casa Amarela;Casa Amarela;Rua Da Harmonia;61;1;3015.68;3015.68;337756.14;337756.14;337756.14;112.0;-8.024364;-34.912549
Rua Da Harmonia, 547 - Casa Amarela;Casa Amarela;Rua Da Harmonia;547;1;4580.95;4580.95;399459.1;399459.1;399459.1;87.2;-8.02854;-34.913947
Rua Da Harmonia, 542 - Casa Amarela;Casa Amarela;Rua Da Harmonia;542;1;2091.0;2091.0;442621.9;442621.9;442621.9;211.68;-8.02842;-34.914383
Rua Da Harmonia, 45 - Casa Amarela;Casa Amarela;Rua Da Harmonia;45;1;3760.5;3760.5;579229.29;579229.29;579229.29;154.03;-8.024215;-34.912489
Rua Da Harmonia, 351 - Casa Amarela;Casa Amarela;Rua Da Harmonia;351;1;1555.24;1555.24;393912.13;393912.13;393912.13;253.28;-8.026861;-34.913469
Rua Guaratuba, 60 - Cohab;Cohab;Rua Guaratuba;60;1;3987.06;3987.06;177424.18;177424.18;177424.18;44.5;-8.116497;-34.955576
Rua Guaratingueta, 9 - Cohab   Ibura;Cohab   Ibura;Rua Guaratingueta;9;1;4820.77;4820.77;178368.39;178368.39;178368.39;37.0;-8.116809;-34.955542
Rua Guaranta, 30 - Cohab   Ibura;Cohab   Ibura;Rua Guaranta;30;1;3406.68;3406.68;126046.98;126046.98;126046.98;37.0;-8.116809;-34.955542
Rua Guaraci, 130 - Cacote;Cacote;Rua Guaraci;130;1;1578.38;1578.38;238129.73;238129.73;238129.73;150.87;-8.098985;-34.930463
Rua Guarabira, 449 - Imbiribeira;Imbiribeira;Rua Guarabira;449;1;2022.35;2022.35;424693.24;424693.24;424693.24;210.0;-8.115575;-34.907979
Rua Guarabira, 100 - Imbiribeira;Imbiribeira;Rua Guarabira;100;1;2741.51;2741.51;493471.45;493471.45;493471.45;180.0;-8.116775;-34.908586
Rua Da Hora, 224 - Espinheiro;Espinheiro;Rua Da Hora;224;1;5427.27;5427.27;1699442.07;1699442.07;1699442.07;313.13;-8.043323;-34.892669
Rua Da Hora, 199 - Espinheiro;Espinheiro;Rua Da Hora;199;1;10252.62;10252.62;2055137.57;2055137.57;2055137.57;200.45;-8.043518;-34.892144
Rua Da Hora, 175 - Espinheiro;Espinheiro;Rua Da Hora;175;1;8404.9;8404.9;3456514.33;3456514.33;3456514.33;411.25;-8.043421;-34.892053
Rua Da Hora, 122 - Espinheiro;Espinheiro;Rua Da Hora;122;1;19650.16;19650.16;2474741.31;2474741.31;2474741.31;125.94;-8.042691;-34.89196
Rua Da Gloria, 427 - Boa Vista;Boa Vista;Rua Da Gloria;427;1;3416.11;3416.11;429746.14;429746.14;429746.14;125.8;-8.064292;-34.888401
Rua Da Gloria, 354 - Boa Vista;Boa Vista;Rua Da Gloria;354;1;2744.95;2744.95;384292.34;384292.34;384292.34;140.0;-8.063942;-34.887673
Rua Da Gloria, 297 - Boa Vista;Boa Vista;Rua Da Gloria;297;1;2263.21;2263.21;258458.3;258458.3;258458.3;114.2;-8.0643;-34.887188
Rua Da Gloria, 286 - Boa Vista;Boa Vista;Rua Da Gloria;286;1;1285.95;1285.95;352350.25;352350.25;352350.25;274.0;-8.063975;-34.887076
Rua Da Gloria, 252 - Boa Vista;Boa Vista;Rua Da Gloria;252;1;1951.53;1951.53;276336.32;276336.32;276336.32;141.6;-8.063993;-34.886768
Rua Da Harmonia, 276 - Casa Amarela;Casa Amarela;Rua Da Harmonia;276;1;2514.27;2514.27;705680.13;705680.13;705680.13;280.67;-8.025999;-34.913546
Rua Da Harmonia, 272 - Casa Amarela;Casa Amarela;Rua Da Harmonia;272;1;6902.53;6902.53;403245.79;403245.79;403245.79;58.42;-8.026076;-34.913482
Rua Da Harmonia, 264 - Casa Amarela;Casa Amarela;Rua Da Harmonia;264;1;6902.53;6902.53;403245.79;403245.79;403245.79;58.42;-8.026001;-34.913458
Rua Da Harmonia, 260 - Casa Amarela;Casa Amarela;Rua Da Harmonia;260;1;6034.81;6034.81;403245.79;403245.79;403245.79;66.82;-8.025949;-34.913447
Rua Da Harmonia, 192 - Casa Amarela;Casa Amarela;Rua Da Harmonia;192;1;3324.29;3324.29;1211705.24;1211705.24;1211705.24;364.5;-8.026947;-34.913407
Rua Da Guia, 231 - Recife;Recife;Rua Da Guia;231;1;6543.71;6543.71;408982.07;408982.07;408982.07;62.5;-8.060859;-34.87164
Rua Da Guia, 227 - Recife;Recife;Rua Da Guia;227;1;6885.66;6885.66;515597.98;515597.98;515597.98;74.88;-8.060896;-34.871658
Rua Da Guia, 223 - Recife;Recife;Rua Da Guia;223;1;6903.83;6903.83;531318.78;531318.78;531318.78;76.96;-8.060932;-34.871673
Rua Da Guia, 217 - Recife;Recife;Rua Da Guia;217;1;10504.41;10504.41;1431751.59;1431751.59;1431751.59;136.3;-8.060938;-34.871754
Rua Guedes Pereira, 213 - Casa Amarela;Casa Amarela;Rua Guedes Pereira;213;1;3937.78;3937.78;2208266.63;2208266.63;2208266.63;560.79;-8.029705;-34.909632
Rua Da Harmonia, 655 - Casa Amarela;Casa Amarela;Rua Da Harmonia;655;1;5724.65;5724.65;898597.85;898597.85;898597.85;156.97;-8.029521;-34.914313
Rua Guimaraes Peixoto, 260 - Tamarineira;Tamarineira;Rua Guimaraes Peixoto;260;1;4188.9;4188.9;591263.27;591263.27;591263.27;141.15;-8.027622;-34.906821
Rua Guimaraes Peixoto, 222 - Tamarineira;Tamarineira;Rua Guimaraes Peixoto;222;1;3254.93;3254.93;902071.01;902071.01;902071.01;277.14;-8.027871;-34.906868
Rua Da Gloria, 211 - Boa Vista;Boa Vista;Rua Da Gloria;211;1;1028.13;1028.13;56033.24;56033.24;56033.24;54.5;-8.064519;-34.886334
Rua Da Gloria, 193 - Boa Vista;Boa Vista;Rua Da Gloria;193;1;717.39;717.39;285634.64;285634.64;285634.64;398.16;-8.064553;-34.88612
Rua Da Fundicao, 510 - Santo Amaro;Santo Amaro;Rua Da Fundicao;510;1;2376.14;2376.14;7297434.13;7297434.13;7297434.13;3071.13;-8.052073;-34.877533
Rua Da Esperanca, 854 - Barro;Barro;Rua Da Esperanca;854;1;8847.58;8847.58;327360.53;327360.53;327360.53;37.0;-8.091404;-34.94609
Rua Da Esperanca, 682 - Barro;Barro;Rua Da Esperanca;682;1;1572.27;1572.27;572902.3;572902.3;572902.3;364.38;-8.091772;-34.944672
Rua Da Esperanca, 630 - Barro;Barro;Rua Da Esperanca;630;1;1360.34;1360.34;305600.23;305600.23;305600.23;224.65;-8.091819;-34.944264
Rua Guilherme Pinto, 380 - Derby;Derby;Rua Guilherme Pinto;380;1;6623.79;6623.79;1459883.0;1459883.0;1459883.0;220.4;-8.05426;-34.902143
Rua Guilherme Pinto, 155 - Gracas;Gracas;Rua Guilherme Pinto;155;1;4758.83;4758.83;1208742.4;1208742.4;1208742.4;254.0;-8.052241;-34.902015
Rua Guilherme De Araujo, 69 - Prado;Prado;Rua Guilherme De Araujo;69;1;2760.17;2760.17;481650.0;481650.0;481650.0;174.5;-8.057322;-34.919168
Rua Da Guia, 127 - Recife;Recife;Rua Da Guia;127;1;2445.48;2445.48;726308.94;726308.94;726308.94;297.0;-8.06167;-34.872094
Rua Da Guia, 121 - Recife;Recife;Rua Da Guia;121;1;3305.87;3305.87;1002173.97;1002173.97;1002173.97;303.15;-8.061716;-34.872108
Rua Da Guia, 117 - Recife;Recife;Rua Da Guia;117;1;3875.87;3875.87;814281.0;814281.0;814281.0;210.09;-8.061749;-34.872127
Rua Da Gloria, 485 - Boa Vista;Boa Vista;Rua Da Gloria;485;1;5837.46;5837.46;745560.76;745560.76;745560.76;127.72;-8.064143;-34.888953
Rua Da Gloria, 448 - Boa Vista;Boa Vista;Rua Da Gloria;448;1;2687.67;2687.67;313329.07;313329.07;313329.07;116.58;-8.063872;-34.888543
Rua Havai, 150 - Estancia;Estancia;Rua Havai;150;1;2483.7;2483.7;477815.05;477815.05;477815.05;192.38;-8.087111;-34.929814
Rua Havai, 110 - Estancia;Estancia;Rua Havai;110;1;2500.91;2500.91;1610285.61;1610285.61;1610285.61;643.88;-8.086817;-34.929977
Rua Hamilton Ribeiro, 95 - Campo Grande;Campo Grande;Rua Hamilton Ribeiro;95;1;2430.28;2430.28;289641.27;289641.27;289641.27;119.18;-8.033042;-34.882791
Rua Hamilton Ribeiro, 70 - Campo Grande;Campo Grande;Rua Hamilton Ribeiro;70;1;1736.21;1736.21;723601.11;723601.11;723601.11;416.77;-8.033151;-34.883214
Rua Hamilton Ribeiro, 44 - Campo Grande;Campo Grande;Rua Hamilton Ribeiro;44;1;2919.66;2919.66;1278780.16;1278780.16;1278780.16;437.99;-8.032927;-34.883446
Rua Hamilton Ribeiro, 236 - Campo Grande;Campo Grande;Rua Hamilton Ribeiro;236;1;2614.72;2614.72;726447.32;726447.32;726447.32;277.83;-8.034075;-34.882155
Rua Hamilton Ribeiro, 157 - Campo Grande;Campo Grande;Rua Hamilton Ribeiro;157;1;3971.57;3971.57;894080.74;894080.74;894080.74;225.12;-8.033382;-34.882429
Rua Gutiuba, 33 - Cabanga;Cabanga;Rua Gutiuba;33;1;3860.28;3860.28;270219.84;270219.84;270219.84;70.0;-8.078238;-34.894164
Rua Gutiuba, 103 - Cabanga;Cabanga;Rua Gutiuba;103;1;1799.48;1799.48;431462.27;431462.27;431462.27;239.77;-8.07845;-34.894808
Rua Gurupi, 131 - Torroes;Torroes;Rua Gurupi;131;1;3296.72;3296.72;451353.33;451353.33;451353.33;136.91;-8.061511;-34.933345
Rua Gurupe, 64 - Afogados;Afogados;Rua Gurupe;64;1;3085.82;3085.82;114175.38;114175.38;114175.38;37.0;-8.067273;-34.908805
Rua Gurupe, 365 - Afogados;Afogados;Rua Gurupe;365;1;1985.49;1985.49;653802.59;653802.59;653802.59;329.29;-8.06634;-34.911329
Rua Guimarania, 299 - Santo Amaro;Santo Amaro;Rua Guimarania;299;1;6060.39;6060.39;224234.57;224234.57;224234.57;37.0;-8.044906;-34.886391
Rua Guimarania, 285 - Santo Amaro;Santo Amaro;Rua Guimarania;285;1;2991.55;2991.55;110687.22;110687.22;110687.22;37.0;-8.044996;-34.886247
Rua Guimaraes Peixoto, 99 - Casa Amarela;Casa Amarela;Rua Guimaraes Peixoto;99;1;3483.45;3483.45;841461.97;841461.97;841461.97;241.56;-8.028998;-34.907496
Rua Guimaraes Peixoto, 318 - Tamarineira;Tamarineira;Rua Guimaraes Peixoto;318;1;2162.92;2162.92;486180.12;486180.12;486180.12;224.78;-8.027112;-34.906693
Rua Helena De Lemos, 288 - Ilha Do Retiro;Ilha Do Retiro;Rua Helena De Lemos;288;1;3068.83;3068.83;457133.29;457133.29;457133.29;148.96;-8.064319;-34.905083
Rua Helena De Lemos, 283 - Ilha Do Retiro;Ilha Do Retiro;Rua Helena De Lemos;283;1;5690.6;5690.6;559101.35;559101.35;559101.35;98.25;-8.064076;-34.905285
Rua Da Esperanca, 51 - Barro;Barro;Rua Da Esperanca;51;1;1806.96;1806.96;333582.55;333582.55;333582.55;184.61;-8.09132;-34.939103
Rua Da Esperanca, 330 - Barro;Barro;Rua Da Esperanca;330;1;5724.65;5724.65;946514.21;946514.21;946514.21;165.34;-8.091485;-34.94156
Rua Da Esperanca, 281 - Barro;Barro;Rua Da Esperanca;281;1;6490.42;6490.42;1077928.3;1077928.3;1077928.3;166.08;-8.091849;-34.941147
Rua Da Esperanca, 234 - Barro;Barro;Rua Da Esperanca;234;1;10172.76;10172.76;4628607.4;4628607.4;4628607.4;455.0;-8.091626;-34.942444
Rua Da Esperanca, 181 - Barro;Barro;Rua Da Esperanca;181;1;1302.51;1302.51;275428.36;275428.36;275428.36;211.46;-8.09173;-34.940274
Rua Da Esperanca, 104 - Barro;Barro;Rua Da Esperanca;104;1;2496.41;2496.41;838169.62;838169.62;838169.62;335.75;-8.091626;-34.942444
Rua Da Diligencia, 82 - Afogados;Afogados;Rua Da Diligencia;82;1;2509.89;2509.89;75296.55;75296.55;75296.55;30.0;-8.07609;-34.910484
Rua Da Coragem, 42 - Encruzilhada;Encruzilhada;Rua Da Coragem;42;1;2940.67;2940.67;564550.36;564550.36;564550.36;191.98;-8.035146;-34.889431
Rua Da Coragem, 152 - Encruzilhada;Encruzilhada;Rua Da Coragem;152;1;4950.75;4950.75;368335.81;368335.81;368335.81;74.4;-8.035482;-34.890101
Rua Da Concórdia, 238 - Santo Antonio;Santo Antonio;Rua Da Concórdia;238;1;5465.51;5465.51;1769460.11;1769460.11;1769460.11;323.75;-8.065899;-34.881642
Rua Da Concordia, 882 - Sao Jose;Sao Jose;Rua Da Concordia;882;1;3348.87;3348.87;799810.28;799810.28;799810.28;238.83;-8.070982;-34.884129
Rua Heitor Maia, 76 - Casa Amarela;Casa Amarela;Rua Heitor Maia;76;1;4027.65;4027.65;667100.17;667100.17;667100.17;165.63;-8.029928;-34.917195
Rua Heitor Maia, 61 - Casa Amarela;Casa Amarela;Rua Heitor Maia;61;1;5612.17;5612.17;600390.15;600390.15;600390.15;106.98;-8.029936;-34.916853
Rua Heitor Maia Filho, 82 - Madalena;Madalena;Rua Heitor Maia Filho;82;1;2152.08;2152.08;803907.96;803907.96;803907.96;373.55;-8.057788;-34.902559
Rua Da Concordia, 539 - Sao Jose;Sao Jose;Rua Da Concordia;539;1;7558.22;7558.22;4080533.9;4080533.9;4080533.9;539.88;-8.068646;-34.88187
Rua Hercilia De Medeiros, 261 - Cajueiro;Cajueiro;Rua Hercilia De Medeiros;261;1;3721.84;3721.84;375868.96;375868.96;375868.96;100.99;-8.01045;-34.882278
Rua Hercilia De Medeiros, 18 - Cajueiro;Cajueiro;Rua Hercilia De Medeiros;18;1;4384.95;4384.95;312909.96;312909.96;312909.96;71.36;-8.009255;-34.884206
Rua Henrique Moser, 133 - Imbiribeira;Imbiribeira;Rua Henrique Moser;133;1;3969.62;3969.62;216463.13;216463.13;216463.13;54.53;-8.089449;-34.909382
Rua Henrique Milet, 185 - Iputinga;Iputinga;Rua Henrique Milet;185;1;2519.11;2519.11;316903.42;316903.42;316903.42;125.8;-8.034093;-34.940375
Rua Henrique Dias, 675 - Derby;Derby;Rua Henrique Dias;675;1;2831.84;2831.84;2386898.33;2386898.33;2386898.33;842.88;-8.058784;-34.898561
Rua Henrique Dias, 292 - Boa Vista;Boa Vista;Rua Henrique Dias;292;1;13007.76;13007.76;1044262.7;1044262.7;1044262.7;80.28;-8.058654;-34.897178
Rua Henrique Dias, 281 - Boa Vista;Boa Vista;Rua Henrique Dias;281;1;3370.57;3370.57;1388033.86;1388033.86;1388033.86;411.81;-8.058976;-34.897094
Rua Henrique Dias, 271 - Boa Vista;Boa Vista;Rua Henrique Dias;271;1;4184.0;4184.0;1313022.91;1313022.91;1313022.91;313.82;-8.058976;-34.896964
Rua Henrique Capitulino, 137 - Boa Viagem;Boa Viagem;Rua Henrique Capitulino;137;1;3762.79;3762.79;240592.92;240592.92;240592.92;63.94;-8.109963;-34.890555
Rua Helio Brandao, 769 - Ipsep;Ipsep;Rua Helio Brandao;769;1;5536.86;5536.86;710212.57;710212.57;710212.57;128.27;-8.107868;-34.925871
Rua Helio Brandao, 661 - Ipsep;Ipsep;Rua Helio Brandao;661;1;2143.89;2143.89;438660.7;438660.7;438660.7;204.61;-8.108928;-34.925724
Rua Helio Brandao, 351 - Ipsep;Ipsep;Rua Helio Brandao;351;1;3042.75;3042.75;484009.76;484009.76;484009.76;159.07;-8.11183;-34.925322
Rua Helio Brandao, 173 - Ipsep;Ipsep;Rua Helio Brandao;173;1;2907.59;2907.59;766092.51;766092.51;766092.51;263.48;-8.113458;-34.924644
Rua Helio Almeida, 88 - Areias;Areias;Rua Helio Almeida;88;1;3069.6;3069.6;597406.24;597406.24;597406.24;194.62;-8.097424;-34.938527
Rua Helena De Lemos, 301 - Ilha Do Retiro;Ilha Do Retiro;Rua Helena De Lemos;301;1;3496.85;3496.85;454765.46;454765.46;454765.46;130.05;-8.064021;-34.90509
Rua Herculandia, 124 - Agua Fria;Agua Fria;Rua Herculandia;124;1;4643.33;4643.33;215450.36;215450.36;215450.36;46.4;-8.022079;-34.887386
Rua Hercilio De Souza, 52 - Estancia;Estancia;Rua Hercilio De Souza;52;1;3894.75;3894.75;175263.66;175263.66;175263.66;45.0;-8.086808;-34.930401
Rua Hercilio Cunha, 37 - Madalena;Madalena;Rua Hercilio Cunha;37;1;5887.35;5887.35;381500.03;381500.03;381500.03;64.8;-8.05887;-34.908634
Rua Hercilia De Medeiros, 48 - Cajueiro;Cajueiro;Rua Hercilia De Medeiros;48;1;3270.84;3270.84;250121.0;250121.0;250121.0;76.47;-8.00946;-34.883961
Rua Hercilia De Medeiros, 29 - Cajueiro;Cajueiro;Rua Hercilia De Medeiros;29;1;2862.64;2862.64;301435.49;301435.49;301435.49;105.3;-8.009126;-34.88391
Rua Da Concordia, 848 - Sao Jose;Sao Jose;Rua Da Concordia;848;1;2576.21;2576.21;578255.33;578255.33;578255.33;224.46;-8.070755;-34.883882
Rua Da Concordia, 773 - Sao Jose;Sao Jose;Rua Da Concordia;773;1;2270.76;2270.76;1613441.71;1613441.71;1613441.71;710.53;-8.070392;-34.883252
Rua Da Concordia, 668 - Sao Jose;Sao Jose;Rua Da Concordia;668;1;5159.73;5159.73;660445.55;660445.55;660445.55;128.0;-8.069403;-34.882996
Rua Da Concordia, 662 - Sao Jose;Sao Jose;Rua Da Concordia;662;1;4223.95;4223.95;840143.94;840143.94;840143.94;198.9;-8.069357;-34.88296
Rua Da Concordia, 630 - Sao Jose;Sao Jose;Rua Da Concordia;630;1;2353.51;2353.51;2377047.85;2377047.85;2377047.85;1010.0;-8.069076;-34.882928
Rua Da Concordia, 617 - Sao Jose;Sao Jose;Rua Da Concordia;617;1;1092.46;1092.46;458811.15;458811.15;458811.15;419.98;-8.069263;-34.882416
Rua Da Concordia, 591 - Sao Jose;Sao Jose;Rua Da Concordia;591;1;6808.97;6808.97;1136008.73;1136008.73;1136008.73;166.84;-8.069027;-34.882328
Rua Da Concordia, 583 - Sao Jose;Sao Jose;Rua Da Concordia;583;1;6808.97;6808.97;1136008.73;1136008.73;1136008.73;166.84;-8.068991;-34.882306
Rua Da Concordia, 581 - Sao Jose;Sao Jose;Rua Da Concordia;581;1;4068.26;4068.26;705680.13;705680.13;705680.13;173.46;-8.068957;-34.882281
Rua Da Concordia, 575 - Sao Jose;Sao Jose;Rua Da Concordia;575;1;2723.55;2723.55;756085.85;756085.85;756085.85;277.61;-8.068918;-34.882256
Rua Da Concordia, 554 - Sao Jose;Sao Jose;Rua Da Concordia;554;1;5914.51;5914.51;982755.79;982755.79;982755.79;166.16;-8.068616;-34.882403
Rua Da Concordia, 278 - Santo Antonio;Santo Antonio;Rua Da Concordia;278;1;1457.16;1457.16;714621.06;714621.06;714621.06;490.42;-8.066266;-34.881671
Rua Da Concordia, 269 - Santo Antonio;Santo Antonio;Rua Da Concordia;269;1;6332.37;6332.37;870700.55;870700.55;870700.55;137.5;-8.066251;-34.881412
Rua Hipolito Braga, 160 - Rosarinho;Rosarinho;Rua Hipolito Braga;160;1;5609.92;5609.92;278700.61;278700.61;278700.61;49.68;-8.032209;-34.8965
Rua Hermogenes De Morais, 317 - Madalena;Madalena;Rua Hermogenes De Morais;317;1;4760.47;4760.47;1188689.97;1188689.97;1188689.97;249.7;-8.055092;-34.908071
Rua Hermogenes De Morais, 190 - Madalena;Madalena;Rua Hermogenes De Morais;190;1;2933.94;2933.94;1217202.45;1217202.45;1217202.45;414.87;-8.056293;-34.907858
Rua Hermogenes De Morais, 178 - Madalena;Madalena;Rua Hermogenes De Morais;178;1;3609.2;3609.2;1217202.45;1217202.45;1217202.45;337.25;-8.05643;-34.90787
Rua Hermogenes De Morais, 154 - Madalena;Madalena;Rua Hermogenes De Morais;154;1;5107.09;5107.09;1652398.76;1652398.76;1652398.76;323.55;-8.056706;-34.907899
Rua Hermogenes De Morais, 134 - Madalena;Madalena;Rua Hermogenes De Morais;134;1;7380.51;7380.51;1818632.7;1818632.7;1818632.7;246.41;-8.056827;-34.907911
Rua Hermogenes De Morais, 120 - Madalena;Madalena;Rua Hermogenes De Morais;120;1;3950.14;3950.14;2098510.26;2098510.26;2098510.26;531.25;-8.056975;-34.907889
Rua Hermilio Gomes, 53 - Campo Grande;Campo Grande;Rua Hermilio Gomes;53;1;3769.22;3769.22;417705.08;417705.08;417705.08;110.82;-8.03221;-34.875736
Rua Hermilio Gomes, 52 - Campo Grande;Campo Grande;Rua Hermilio Gomes;52;1;1238.18;1238.18;945784.78;945784.78;945784.78;763.85;-8.03232;-34.876193
Rua Hermilio Gomes, 287 - Campo Grande;Campo Grande;Rua Hermilio Gomes;287;1;2234.36;2234.36;487090.09;487090.09;487090.09;218.0;-8.03419;-34.874929
Rua Hermilio Gomes, 172 - Campo Grande;Campo Grande;Rua Hermilio Gomes;172;1;2794.17;2794.17;432034.98;432034.98;432034.98;154.62;-8.033356;-34.875685
Rua Hermilio Gomes, 166 - Campo Grande;Campo Grande;Rua Hermilio Gomes;166;1;2510.08;2510.08;253467.95;253467.95;253467.95;100.98;-8.033285;-34.875702
Rua Hermilio Gomes, 162 - Campo Grande;Campo Grande;Rua Hermilio Gomes;162;1;1700.75;1700.75;546911.05;546911.05;546911.05;321.57;-8.033201;-34.875739
Rua Hercules Florence, 46 - Prado;Prado;Rua Hercules Florence;46;1;4083.45;4083.45;812607.08;812607.08;812607.08;199.0;-8.062958;-34.913741
Rua Holmes Fontes, 243 - Afogados;Afogados;Rua Holmes Fontes;243;1;2336.3;2336.3;116814.93;116814.93;116814.93;50.0;-8.073085;-34.914844
Rua Historiador Luiz Do Nascimento, 450 - Varzea;Varzea;Rua Historiador Luiz Do Nascimento;450;1;4526.5;4526.5;10887402.05;10887402.05;10887402.05;2405.26;-8.071034;-34.985806
Rua Hipolito Braga, 735 - Rosarinho;Rosarinho;Rua Hipolito Braga;735;1;2668.66;2668.66;133433.02;133433.02;133433.02;50.0;-8.031825;-34.895597
Rua Hipolito Braga, 174 - Rosarinho;Rosarinho;Rua Hipolito Braga;174;1;6985.24;6985.24;397320.55;397320.55;397320.55;56.88;-8.03221;-34.89639
Rua Da Concordia, 507 - Sao Jose;Sao Jose;Rua Da Concordia;507;1;11454.03;11454.03;1637926.31;1637926.31;1637926.31;143.0;-8.068343;-34.882038
Rua Da Concordia, 499 - Sao Jose;Sao Jose;Rua Da Concordia;499;1;2652.91;2652.91;596904.47;596904.47;596904.47;225.0;-8.068298;-34.882023
Rua Da Concordia, 460 - Sao Jose;Sao Jose;Rua Da Concordia;460;1;2588.56;2588.56;4032457.87;4032457.87;4032457.87;1557.8;-8.067638;-34.88233
Rua Da Concordia, 437 - Sao Jose;Sao Jose;Rua Da Concordia;437;1;7303.47;7303.47;1778322.33;1778322.33;1778322.33;243.49;-8.06779;-34.881815
Rua Da Concordia, 420 - Sao Jose;Sao Jose;Rua Da Concordia;420;1;6170.86;6170.86;5236714.18;5236714.18;5236714.18;848.62;-8.06743;-34.882354
Rua Da Concordia, 405 - Sao Jose;Sao Jose;Rua Da Concordia;405;1;2614.43;2614.43;1926548.26;1926548.26;1926548.26;736.89;-8.067419;-34.881756
Rua Da Concordia, 390 - Sao Jose;Sao Jose;Rua Da Concordia;390;1;6853.99;6853.99;2081900.19;2081900.19;2081900.19;303.75;-8.067184;-34.882161
Rua Da Concordia, 373 - Sao Jose;Sao Jose;Rua Da Concordia;373;1;5235.73;5235.73;1869313.9;1869313.9;1869313.9;357.03;-8.067145;-34.881687
Rua Da Concordia, 327 - Santo Antonio;Santo Antonio;Rua Da Concordia;327;1;3368.99;3368.99;706477.83;706477.83;706477.83;209.7;-8.066738;-34.881554
Rua Da Concordia, 321 - Santo Antonio;Santo Antonio;Rua Da Concordia;321;1;3375.01;3375.01;573751.46;573751.46;573751.46;170.0;-8.066702;-34.881549
Rua Da Concordia, 314 - Santo Antonio;Santo Antonio;Rua Da Concordia;314;1;3943.34;3943.34;656290.29;656290.29;656290.29;166.43;-8.066553;-34.88186
Rua Da Concordia, 312 - Santo Antonio;Santo Antonio;Rua Da Concordia;312;1;5411.81;5411.81;601522.25;601522.25;601522.25;111.15;-8.06652;-34.881853
Rua Horizonte, 42 - Boa Viagem;Boa Viagem;Rua Horizonte;42;1;4523.16;4523.16;2159853.31;2159853.31;2159853.31;477.51;-8.135042;-34.908224
Rua Horacio Silva, 436 - Alto Jose Do Pinho;Alto Jose Do Pinho;Rua Horacio Silva;436;1;8789.79;8789.79;457069.0;457069.0;457069.0;52.0;-8.0578;-34.8829
Rua Honorio Correia, 97 - Cordeiro;Cordeiro;Rua Honorio Correia;97;1;3532.08;3532.08;938649.87;938649.87;938649.87;265.75;-8.053003;-34.920602
Rua Da Concordia, 265 - Santo Antonio;Santo Antonio;Rua Da Concordia;265;1;4870.87;4870.87;769598.23;769598.23;769598.23;158.0;-8.066198;-34.88139
