endereco_edificio;bairro_padronizado;logradouro_fmt;numero_fmt;total_transacoes;m2_privativo_medio;m2_privativo_mediana;valor_medio_corrigido;valor_min_corrigido;valor_max_corrigido;area_privativa_media;latitude;longitude
Rua General Polidoro, 320 - Varzea;Varzea;Rua General Polidoro;320;239;6532.0;6600.66;421014.68;135820.61;725857.46;64.55;-8.039391;-34.946793
Rua Conde Pereira Carneiro, 625 - Imbiribeira;Imbiribeira;Rua Conde Pereira Carneiro;625;238;5876.28;6074.44;333094.78;286856.2;397919.77;56.7;-8.107447;-34.908887
Rua Conde Pereira Carneiro, 305 - Imbiribeira;Imbiribeira;Rua Conde Pereira Carneiro;305;233;6630.78;6618.43;510925.35;392292.91;736256.34;77.05;-8.107438;-34.90888
Rua Viriato Correia, 142 - Boa Viagem;Boa Viagem;Rua Viriato Correia;142;227;7030.66;6922.71;419849.22;33913.11;635725.47;59.72;-8.133547;-34.909971
Rua Dona Maria Lacerda, 360 - Varzea;Varzea;Rua Dona Maria Lacerda;360;226;5312.56;5278.54;276784.33;26570.8;312259.11;52.1;-8.047331;-34.961355
Rua De Sao Jorge, 215 - Recife;Recife;Rua De Sao Jorge;215;223;6392.01;3902.57;259271.72;62036.01;16998777.91;40.72;-8.058834;-34.870642
Av Governador Agamenon Magalhaes, 2939 - Espinheiro;Espinheiro;Av Governador Agamenon Magalhaes;2939;222;9336.71;9170.08;714700.12;359132.13;19291176.16;91.72;-8.043119;-34.888231
Rua Amaro Albino Pimentel, 112 - Boa Viagem;Boa Viagem;Rua Amaro Albino Pimentel;112;218;6794.68;8191.94;855015.93;122174.93;1783283.37;126.69;-8.123577;-34.901191
Rua Marechal Deodoro, 503 - Encruzilhada;Encruzilhada;Rua Marechal Deodoro;503;216;7576.87;7496.18;548048.4;351266.38;730213.86;72.32;-8.036493;-34.884478
Rua Barao De Souza Leao, 425 - Boa Viagem;Boa Viagem;Rua Barao De Souza Leao;425;213;9664.93;9763.53;663600.2;37880.12;5311565.31;73.04;-8.131824;-34.90398
Rua Guarabira, 636 - Imbiribeira;Imbiribeira;Rua Guarabira;636;213;7027.12;7112.3;392873.2;321976.23;427851.0;55.93;-8.116775;-34.908586
Rua Antonio Falcao, 1013 - Boa Viagem;Boa Viagem;Rua Antonio Falcao;1013;213;9630.66;9748.22;768005.53;39582.75;1122604.58;79.53;-8.113241;-34.901544
Rua Arnobio Marques, 253 - Santo Amaro;Santo Amaro;Rua Arnobio Marques;253;212;4406.21;5245.64;320793.89;67089.31;703006.09;80.42;-8.046157;-34.888268
Rua Adelino Frutuoso, 199 - Cordeiro;Cordeiro;Rua Adelino Frutuoso;199;212;9145.19;9714.66;641895.02;40362.95;900723.01;69.96;-8.051852;-34.930053
Rua Alameda Das Hortencias, 101 - Imbiribeira;Imbiribeira;Rua Alameda Das Hortencias;101;211;6063.76;6092.96;343857.71;101392.23;476849.9;56.7;-8.116197;-34.909317
Rua Antonio Falcao, 979 - Boa Viagem;Boa Viagem;Rua Antonio Falcao;979;209;10484.91;10361.83;783238.45;518331.2;1818669.61;74.74;-8.113233;-34.901147
Rua Professor Henrique De Lucena, 122 - Jardim Sao Paulo;Jardim Sao Paulo;Rua Professor Henrique De Lucena;122;207;7424.08;7130.64;373692.96;155310.14;540299.79;50.33;-8.082307;-34.94126
Rua Dr Jose Ramos De Vasconcelos, 48 - San Martin;San Martin;Rua Dr Jose Ramos De Vasconcelos;48;203;8064.24;8028.16;232629.71;216922.83;252900.0;28.85;-8.068032;-34.92669
Est Da Mumbeca, 545 - Guabiraba;Guabiraba;Est Da Mumbeca;545;201;5724.42;5631.71;232710.07;84811.09;311687.51;40.65;-7.959258;-34.944184
Av Antonio De Goes, 275 - Pina;Pina;Av Antonio De Goes;275;201;8278.45;8157.0;1008590.76;43180.56;6124703.57;110.99;-8.088702;-34.884067
Rua Vicente Zirpoli, 142 - Caxanga;Caxanga;Rua Vicente Zirpoli;142;201;6995.24;7120.04;467957.48;50953.11;859671.32;66.97;-8.030546;-34.95258
Av Dr Jose Rufino, 2125 - Barro;Barro;Av Dr Jose Rufino;2125;200;7061.98;7099.0;480574.95;390625.39;562871.54;68.05;-8.091741;-34.944952
Rua Engenheiro Leonardo Arcoverde, 185 - Madalena;Madalena;Rua Engenheiro Leonardo Arcoverde;185;199;6413.26;6399.52;359057.36;311770.61;471938.19;56.07;-8.052966;-34.912548
Rua Pio Ix, 435 - Torre;Torre;Rua Pio Ix;435;198;8868.35;8493.91;568773.5;280486.02;828291.07;64.14;-8.044908;-34.911639
Av Parnamirim, 375 - Parnamirim;Parnamirim;Av Parnamirim;375;196;7195.54;8417.61;331616.76;70861.76;671796.89;46.23;-8.034216;-34.90983
Rua Amalia Bernardino De Souza, 234 - Boa Viagem;Boa Viagem;Rua Amalia Bernardino De Souza;234;195;6155.75;5948.75;252727.74;177664.59;525882.53;41.28;-8.123447;-34.908647
Av Rui Barbosa, 715 - Gracas;Gracas;Av Rui Barbosa;715;193;7512.38;7349.23;642414.61;64330.68;3035026.63;86.89;-8.047036;-34.901158
Av Conselheiro Aguiar, 4010 - Boa Viagem;Boa Viagem;Av Conselheiro Aguiar;4010;192;10577.52;10300.72;589768.45;305354.54;1400703.62;55.95;-8.123273;-34.898891
Av Boa Viagem, 130 - Pina;Pina;Av Boa Viagem;130;192;12263.79;11939.83;760231.79;453704.79;1026736.73;62.1;-8.092778;-34.883026
Rua Nunes Machado, 47 - Soledade;Soledade;Rua Nunes Machado;47;191;8290.96;8352.63;349007.47;23941.89;488703.3;42.2;-8.058223;-34.89177
Rua Dom Bosco, 1297 - Boa Vista;Boa Vista;Rua Dom Bosco;1297;191;6894.27;7116.15;418666.03;316658.81;686190.67;62.47;-8.0548;-34.896269
Rua Felix De Brito E Melo, 945 - Boa Viagem;Boa Viagem;Rua Felix De Brito E Melo;945;190;7678.41;8647.18;476677.47;51619.75;872275.27;62.26;-8.115956;-34.900356
Rua Cassilandia, 67 - Varzea;Varzea;Rua Cassilandia;67;189;7147.62;7226.22;328744.61;83610.18;617377.59;47.27;-8.044291;-34.950487
Est De Belem, 516 - Encruzilhada;Encruzilhada;Est De Belem;516;188;7920.78;7938.5;549523.27;48209.59;793463.93;69.38;-8.034427;-34.886061
Rua Barao De Itamaraca, 78 - Espinheiro;Espinheiro;Rua Barao De Itamaraca;78;186;10207.42;10010.3;436813.93;180501.66;819033.37;43.24;-8.043327;-34.89447
Rua Paes Cabral, 88 - Cordeiro;Cordeiro;Rua Paes Cabral;88;185;6416.91;6553.39;489751.24;37588.86;596506.61;76.6;-8.05149;-34.924895
Rua Candido Lacerda, 221 - Torreao;Torreao;Rua Candido Lacerda;221;184;8454.38;8726.12;568738.29;53332.81;716010.2;67.3;-8.040519;-34.883942
Est Do Encanamento, 846 - Casa Amarela;Casa Amarela;Est Do Encanamento;846;183;4371.42;4805.32;230182.79;35823.51;1044944.23;50.43;-8.030261;-34.917591
Rua Caxanga Agape, 4643 - Varzea;Varzea;Rua Caxanga Agape;4643;182;6971.17;7087.9;385519.17;349334.37;401922.75;55.34;-8.036463;-34.948051
Rua Amaro Albino Pimentel, 101 - Boa Viagem;Boa Viagem;Rua Amaro Albino Pimentel;101;181;9776.71;9638.24;684390.15;387097.83;1371253.07;69.89;-8.123577;-34.901191
Rua Aureo Xavier, 889 - Cordeiro;Cordeiro;Rua Aureo Xavier;889;180;7669.06;7646.78;511035.99;86811.45;656183.06;66.64;-8.047386;-34.932572
Av Governador Agamenon Magalhaes, -1 - Santo Amaro;Santo Amaro;Av Governador Agamenon Magalhaes;-1;180;9790.0;8634.07;2896004.27;373210.21;27864723.58;298.86;-8.038057;-34.871782
Av Boa Viagem, 1906 - Boa Viagem;Boa Viagem;Av Boa Viagem;1906;175;11985.97;11611.02;711962.38;412675.53;1491616.36;59.44;-8.107363;-34.888523
Rua Dr Luiz Inacio Pessoa De Melo, 81 - Boa Viagem;Boa Viagem;Rua Dr Luiz Inacio Pessoa De Melo;81;174;4920.67;4731.65;356630.84;92018.27;850211.25;75.06;-8.140108;-34.905396
Rua Maria Carolina, 816 - Boa Viagem;Boa Viagem;Rua Maria Carolina;816;173;9434.0;9382.68;691885.16;548383.6;996462.85;73.41;-8.113482;-34.898316
Rua Real Da Torre, 1130 - Torre;Torre;Rua Real Da Torre;1130;172;8703.46;8841.93;512704.9;277022.66;958675.83;61.82;-8.047541;-34.909524
Rua Ministro Nelson Hungria, 300 - Boa Viagem;Boa Viagem;Rua Ministro Nelson Hungria;300;171;9704.39;9908.41;335776.61;76608.59;529688.13;34.71;-8.113273;-34.898938
Av Liberdade, 54 - Jardim Sao Paulo;Jardim Sao Paulo;Av Liberdade;54;171;5954.31;6183.1;385329.56;241073.44;516797.98;65.76;-8.083165;-34.959465
Rua Pedro Paes Mendonca, 120 - Boa Viagem;Boa Viagem;Rua Pedro Paes Mendonca;120;169;10314.99;10395.54;1121033.06;819248.17;1643181.47;108.68;-8.114514;-34.901284
Rua Almirante Batista Leao, 43 - Boa Viagem;Boa Viagem;Rua Almirante Batista Leao;43;169;6564.31;6564.56;377045.31;232223.49;659949.6;58.47;-8.140276;-34.909808
Rua Amaro Coutinho, 750 - Rosarinho;Rosarinho;Rua Amaro Coutinho;750;167;9033.32;9156.37;648572.73;38109.66;887756.06;71.78;-8.032367;-34.896272
Rua Sao Judas Tadeu, 224 - Imbiribeira;Imbiribeira;Rua Sao Judas Tadeu;224;164;6408.56;6396.18;344057.49;274591.46;413112.47;53.72;-8.115051;-34.907851
Rua Pedro Paes Mendonca, 140 - Boa Viagem;Boa Viagem;Rua Pedro Paes Mendonca;140;161;9760.81;9765.68;1066558.35;831374.86;1467533.49;109.25;-8.114017;-34.90131
Rua Da Harmonia, 305 - Casa Amarela;Casa Amarela;Rua Da Harmonia;305;160;7639.36;7756.54;493433.97;60287.1;642801.21;64.71;-8.026675;-34.913132
Rua Tabaiares, 400 - Ilha Do Retiro;Ilha Do Retiro;Rua Tabaiares;400;159;5489.31;6603.56;727419.05;147041.7;1334095.66;131.77;-8.064936;-34.905525
Av Afonso Olindense, 730 - Varzea;Varzea;Av Afonso Olindense;730;159;6892.36;7032.26;489314.67;348260.46;616813.16;70.95;-8.042235;-34.958636
Rua Tenente Joao Cicero, 717 - Boa Viagem;Boa Viagem;Rua Tenente Joao Cicero;717;158;9008.05;8958.91;514557.44;193652.94;669638.68;57.12;-8.111395;-34.898319
Av Jose Americo De Almeida, 151 - Macaxeira;Macaxeira;Av Jose Americo De Almeida;151;158;5831.18;5819.97;383621.88;121832.28;478568.18;65.79;-8.015105;-34.930446
Rua Da Aurora, 325 - Boa Vista;Boa Vista;Rua Da Aurora;325;157;4490.74;4309.86;188034.06;76327.37;684669.87;45.87;-8.060786;-34.881242
Av Governador Carlos De Lima Cavalcanti, 60 - Boa Vista;Boa Vista;Av Governador Carlos De Lima Cavalcanti;60;156;7509.93;7605.58;299652.55;201889.61;425268.12;40.75;-8.056277;-34.896016
Rua Padre Carapuceiro, 968 - Boa Viagem;Boa Viagem;Rua Padre Carapuceiro;968;156;7442.09;7067.48;662371.07;189198.11;1270046.31;89.08;-8.115912;-34.9035
Rua Engenheiro Sampaio, 68 - Rosarinho;Rosarinho;Rua Engenheiro Sampaio;68;155;9860.05;9974.76;487763.42;81431.33;802341.79;50.03;-8.033695;-34.897214
Rua Real Da Torre, 1288 - Torre;Torre;Rua Real Da Torre;1288;154;5603.44;4317.44;854697.84;116077.18;1714019.41;216.5;-8.045632;-34.909176
Rua Conde De Iraja, 544 - Torre;Torre;Rua Conde De Iraja;544;153;7588.08;7609.75;625561.68;433988.93;813375.03;82.44;-8.045735;-34.908682
